,Total,Hokkaido,Aomori-ken,Iwate-ken,Miyagi-ken,Akita-ken,Yamagata-ken,Fukushima-ken,Ibaraki-ken,Tochigi-ken,Gumma-ken,Saitama-ken,Chiba-ken,Tokyo-to,Kanagawa-ken,Niigata-ken,Toyama-ken,Ishikawa-ken,Fukui-ken,Yamanashi-ken,Nagano-ken,Gifu-ken,Shizuoka-ken,Aichi-ken,Mie-ken,Shiga-ken,Kyoto-fu,Osaka-fu,Hyogo-ken,Nara-ken,Wakayama-ken,Tottori-ken,Shimane-ken,Okayama-ken,Hiroshima-ken,Yamaguchi-ken,Tokushima-ken,Kagawa-ken,Ehime-ken,Kochi-ken,Fukuoka-ken,Saga-ken,Nagasaki-ken,Kumamoto-ken,Oita-ken,Miyazaki-ken,Kagoshima-ken,Okinawa-ken,Tokyo Area,Nagoya Area,Osaka Area,Total of 20 Major cities,Sapporo-shi,Sendai-shi,Saitama-shi,Chiba-shi,Ku-area of Tokyo,Yokohama-shi,Kawasaki-shi,Sagamihara-shi,Niigata-shi,Shizuoka-shi,Hamamatsu-shi,Nagoya-shi,Kyoto-shi,Osaka-shi,Sakai-shi,Kobe-shi,Okayama-shi,Hiroshima-shi,Kitakyushu-shi,Fukuoka-shi
Nagasaki-ken,"29,206",172,58,19,80,19,30,55,157,91,82,563,761,"2,454","1,759",42,53,77,26,49,55,120,256,"1,359",193,181,450,"1,128",675,132,46,53,102,259,806,658,99,121,134,54,"9,093","1,962",-,"1,675",837,548,"1,005",658,"5,537","1,672","2,385","11,381",51,44,140,116,"1,787",767,299,68,18,64,50,532,237,445,107,243,107,243,971,"5,092"
Kumamoto-ken,"31,031",209,32,20,73,36,40,69,253,100,110,712,855,"2,912","1,614",77,62,64,30,92,109,148,355,"1,148",290,264,454,"1,382",669,142,62,49,71,262,587,435,33,152,162,81,"8,740",817,"1,461",-,"1,399","1,465","2,356",578,"6,093","1,586","2,647","10,795",74,52,187,134,"2,108",679,327,93,27,56,78,406,328,515,117,216,130,293,908,"4,067"
Oita-ken,"21,548",150,28,17,54,18,17,32,177,54,66,418,523,"1,818",995,59,30,62,21,23,70,78,236,591,181,148,287,"1,029",535,113,35,38,71,214,498,410,42,115,269,84,"6,968",510,"1,032","1,418",-,982,733,299,"3,754",850,"1,964","7,785",50,35,106,74,"1,356",454,223,38,22,19,37,236,197,369,82,172,97,227,"1,275","2,716"
Miyazaki-ken,"22,017",155,34,19,126,22,17,40,200,97,62,586,612,"2,317","1,182",56,45,73,30,35,103,141,276,999,178,185,284,"1,154",520,156,71,38,68,162,318,313,38,96,121,80,"3,948",310,456,"1,638","1,098",-,"3,136",422,"4,697","1,318","2,114","6,849",44,27,111,110,"1,617",471,250,53,28,44,58,279,200,415,101,184,81,136,518,"2,122"
Kagoshima-ken,"32,167",215,63,31,106,65,23,73,229,102,92,817,"1,114","3,480","1,911",78,55,89,33,60,112,199,346,"1,417",237,370,554,"2,146","1,006",178,91,60,55,295,573,406,79,141,158,87,"5,999",492,933,"2,790",694,"3,099",-,"1,014","7,322","1,853","3,884","11,045",57,66,150,197,"2,446",765,439,79,35,56,68,474,339,877,177,323,152,273,747,"3,325"
Okinawa-ken,"23,983",625,154,51,182,42,48,81,304,149,150,"1,278","1,450","4,231","2,278",132,59,108,42,78,168,389,484,"1,746",349,280,424,"1,475",662,139,73,57,49,203,427,276,97,135,115,70,"2,119",165,549,514,217,426,933,-,"9,237","2,484","2,700","9,064",281,107,224,228,"3,052","1,002",501,94,65,56,136,567,247,582,86,227,93,190,309,"1,017"
Tokyo Area,"377,248","23,491","7,731","5,979","15,998","4,673","4,836","10,734","28,963","15,123","14,330",-,-,-,-,"11,389","3,213","3,696","1,634","7,139","12,793","4,053","22,717","25,788","4,681","3,227","8,326","30,428","17,275","3,155","1,559","1,342","1,655","4,294","9,270","3,787","1,512","2,833","3,416","1,968","21,026","2,028","4,180","4,799","3,059","3,830","6,253","9,065",-,"34,522","59,184","94,247","11,943","10,627",-,-,-,-,-,-,"4,730","4,417","3,513","14,272","5,599","11,324","1,957","5,344","2,257","4,997","3,120","10,147"
Nagora Area,"123,253","3,449",641,493,"1,385",369,277,629,"1,675","1,290",984,"5,683","6,693","20,355","11,133",849,"1,787","2,393","1,229",574,"3,131",-,"9,673",-,-,"2,776","3,818","11,964","5,490","2,106","1,042",347,392,"1,128","2,127",858,399,675,870,489,"4,319",562,"1,397","1,507",902,"1,202","1,801","2,390","43,864",-,"23,378","47,210","1,281",946,"1,594","1,082","14,994","5,351","2,414",446,362,"2,064","2,998",-,"2,577","4,236",934,"1,750",544,"1,123",818,"1,696"
Osaka Area,"211,113","4,155",626,388,"1,833",391,403,788,"2,296","1,122","1,058","8,843","12,442","38,235","18,090","1,333","1,676","2,787","2,445",710,"1,899","2,460","4,217","14,254","5,999","13,538",-,-,-,-,"7,120","2,561","2,122","6,768","8,265","2,887","2,892","3,878","3,923","2,299","9,903",976,"2,308","2,316","1,836","2,129","3,901","3,041","77,610","22,713",-,"75,307","1,963","1,329","2,617","1,770","30,034","9,195","4,303",513,633,"1,033","1,083","7,349",-,-,-,-,"3,090","3,988","1,603","4,804"
Total of 20 major cities,"1,154,375","48,479","6,828","6,501","23,027","4,719","5,429","9,786","16,313","9,931","8,056","90,624","85,527","177,452","146,489","14,232","3,897","5,275","2,772","4,440","10,265","8,372","29,526","58,628","9,142","10,344","21,535","92,602","49,433","8,891","4,234","2,938","3,822","15,156","24,882","9,222","2,716","5,537","5,928","2,883","55,372","4,666","8,543","8,743","6,484","5,960","9,526","9,248","118,916","41,283","64,485","359,867","10,112","9,064","15,851","9,838","100,364","52,678","40,042","6,406","3,814","5,344","4,536","16,970","9,460","23,043","7,673","10,209","4,434","8,156","6,285","15,588"
